Geneid	GSE171968__A08_72H_1	GSE171968__A08_72H_2	GSE171968__A08_72H_3	GSE171968__K09_72H_1	GSE171968__K09_72H_2	GSE171968__K09_72H_3	GSE171968__A08_48H_1	GSE171968__A08_12H_1	GSE171968__A08_48H_2	GSE171968__A08_48H_3	GSE171968__K09_48H_1	GSE171968__K09_48H_2	GSE171968__K09_48H_3	GSE171968__A08_12H_3	CRA014990__RNA seqence for H10 at 72 h Rep1	CRA014990__RNA seqence for H10 at 72 h Rep2	CRA014990__RNA seqence for H10 at 72 h Rep3	CRA014990__RNA seqence for H10 at 96 h Rep1	CRA014990__RNA seqence for H10 at 96 h Rep2	CRA014990__RNA seqence for H10 at 96 h Rep3	GSE174081__15-N-96-1	GSE174081__15-K-96-1	GSE174081__15-N-72-1	GSE174081__15-K-72-1	GSE174081__15-K-72-2	GSE174081__15-N-72-2	GSE174081__15-K-96-2	GSE174081__15-N-96-2	GSE174081__15-K-96-3	GSE174081__15-K-72-3	GSE174081__3-K-96-1	GSE174081__3-N-96-1	GSE174081__3-N-72-1	GSE174081__3-K-72-1	GSE174081__3-N-72-2	GSE174081__3-K-72-2	GSE174081__3-N-96-2	GSE174081__3-K-96-2	GSE174081__3-N-96-3	GSE174081__3-K-96-3	GSE174081__3-K-72-3	GSE174081__3-N-72-3	GSE174081__NIV-N-72-1	GSE174081__NIV-K-72-1	GSE174081__NIV-N-96-1	GSE174081__NIV-K-96-1	GSE174081__NIV-N-72-2	GSE174081__NIV-K-72-2	GSE174081__NIV-K-96-2	GSE174081__NIV-N-96-2	GSE174081__NIV-K-72-3	GSE174081__NIV-N-72-3	GSE174081__NIV-K-96-3	GSE174081__NIV-N-96-3
FGRAMPH1_01G00001	1.49974471	0.31196415	0.83810347	1.79054583	0.75816998	0.63826723	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.52232954	0.00000000	0.00000000	3.46193639	1.66136447	0.00000000	0.00000000	0.00000000	1.21196848	0.55494703	0.00000000	1.23342536	0.00000000	0.71507277	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.27967845	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.42647804
FGRAMPH1_01G00003	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.32867509	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00005	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00007	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00009	1.02383562	5.32423963	6.67509308	1.43806797	2.58791190	1.63397990	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	31.75673506	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	5.05215914	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00011	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.98236601	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00013	0.00000000	0.75739184	0.33912696	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	28.90813734	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.94243756	0.00000000	0.00000000	0.14972655	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.34560758	0.00000000	0.00000000	0.00000000	0.27148048	0.00000000	0.46024504	8.85203421	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00015	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	11.55136942	428.33207661	3224.00205047	287.84500076	351.11439848	630.22396584	896.50198373	28.01471776	2180.65886427	1060.66323322	234.47360811	443.11009225	7679.47628490	77.53226877	2951.65484529	588.76646386	520.98504771	25.05224882	179.17041767	32.21973111	338.01381057	243.84285810	1934.15486948	6035.73261813	777.58502309	19.44587842	619.35477478	1902.28892915	369.85518675	5986.89916790	2724.22306087	0.00000000	747.40495251	45.18516964
FGRAMPH1_01G00017	3.55046860	0.92317288	3.30685175	10.28558055	5.12822272	3.30536134	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.45817768	0.00000000	0.00000000	0.00000000	0.00000000	1.64221450	0.00000000	6.42397575	0.00000000	0.00000000	2.10092308	0.00000000	64.29731076	3.79130033	0.00000000	2.17898890	0.00000000	1.76481729	0.00000000	3.36591221	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00019	0.00000000	7.41721659	6.64221084	1.25211090	3.86274535	3.79383839	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.97501862	0.00000000	0.00000000	0.00000000	28.81559546	6.59717206	0.00000000	13.78310313	0.00000000	8.50073577	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00021	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
FGRAMPH1_01G00023	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
