sample	run	project	genotype	treatment	timepoint_hpi	replicate
GSE171968__A08_72H_1	SRR14224152	GSE171968	A08	72H 侵染	72	1
GSE171968__A08_72H_2	SRR14224153	GSE171968	A08	72H 侵染	72	2
GSE171968__A08_72H_3	SRR14224154	GSE171968	A08	72H 侵染	72	3
GSE171968__K09_72H_1	SRR14224162	GSE171968	K09	72H 侵染	72	1
GSE171968__K09_72H_2	SRR14224163	GSE171968	K09	72H 侵染	72	2
GSE171968__K09_72H_3	SRR14224164	GSE171968	K09	72H 侵染	72	3
GSE171968__A08_48H_1	SRR14224166	GSE171968	A08	48H 侵染	48	1
GSE171968__A08_12H_1	SRR14224168	GSE171968	A08	12H 侵染	12	1
GSE171968__A08_48H_2	SRR14224169	GSE171968	A08	48H 侵染	48	2
GSE171968__A08_48H_3	SRR14224173	GSE171968	A08	48H 侵染	48	3
GSE171968__K09_48H_1	SRR14224175	GSE171968	K09	48H 侵染	48	1
GSE171968__K09_48H_2	SRR14224179	GSE171968	K09	48H 侵染	48	2
GSE171968__K09_48H_3	SRR14224182	GSE171968	K09	48H 侵染	48	3
GSE171968__A08_12H_3	SRR14224184	GSE171968	A08	12H 侵染	12	3
CRA014990__RNA seqence for H10 at 72 h Rep1	CRR1057043	CRA014990	H10	inoculated	72	1
CRA014990__RNA seqence for H10 at 72 h Rep2	CRR1057044	CRA014990	H10	inoculated	72	2
CRA014990__RNA seqence for H10 at 72 h Rep3	CRR1057045	CRA014990	H10	inoculated	72	3
CRA014990__RNA seqence for H10 at 96 h Rep1	CRR1057046	CRA014990	H10	inoculated	96	1
CRA014990__RNA seqence for H10 at 96 h Rep2	CRR1057047	CRA014990	H10	inoculated	96	2
CRA014990__RNA seqence for H10 at 96 h Rep3	CRR1057048	CRA014990	H10	inoculated	96	3
GSE174081__15-N-96-1	SRR14467108	GSE174081	Norman	15ADON产毒株	96	1
GSE174081__15-K-96-1	SRR14467109	GSE174081	CDC Kendall	15ADON产毒株	96	1
GSE174081__15-N-72-1	SRR14467110	GSE174081	Norman	15ADON产毒株	72	1
GSE174081__15-K-72-1	SRR14467111	GSE174081	CDC Kendall	15ADON产毒株	72	1
GSE174081__15-K-72-2	SRR14467112	GSE174081	CDC Kendall	15ADON产毒株	72	2
GSE174081__15-N-72-2	SRR14467113	GSE174081	Norman	15ADON产毒株	72	2
GSE174081__15-K-96-2	SRR14467114	GSE174081	CDC Kendall	15ADON产毒株	96	2
GSE174081__15-N-96-2	SRR14467115	GSE174081	Norman	15ADON产毒株	96	2
GSE174081__15-K-96-3	SRR14467117	GSE174081	CDC Kendall	15ADON产毒株	96	3
GSE174081__15-K-72-3	SRR14467118	GSE174081	CDC Kendall	15ADON产毒株	72	3
GSE174081__3-K-96-1	SRR14467120	GSE174081	CDC Kendall	3ADON产毒株	96	1
GSE174081__3-N-96-1	SRR14467121	GSE174081	Norman	3ADON产毒株	96	1
GSE174081__3-N-72-1	SRR14467122	GSE174081	Norman	3ADON产毒株	72	1
GSE174081__3-K-72-1	SRR14467123	GSE174081	CDC Kendall	3ADON产毒株	72	1
GSE174081__3-N-72-2	SRR14467124	GSE174081	Norman	3ADON产毒株	72	2
GSE174081__3-K-72-2	SRR14467125	GSE174081	CDC Kendall	3ADON产毒株	72	2
GSE174081__3-N-96-2	SRR14467126	GSE174081	Norman	3ADON产毒株	96	2
GSE174081__3-K-96-2	SRR14467127	GSE174081	CDC Kendall	3ADON产毒株	96	2
GSE174081__3-N-96-3	SRR14467128	GSE174081	Norman	3ADON产毒株	96	3
GSE174081__3-K-96-3	SRR14467129	GSE174081	CDC Kendall	3ADON产毒株	96	3
GSE174081__3-K-72-3	SRR14467130	GSE174081	CDC Kendall	3ADON产毒株	72	3
GSE174081__3-N-72-3	SRR14467131	GSE174081	Norman	3ADON产毒株	72	3
GSE174081__NIV-N-72-1	SRR14467132	GSE174081	Norman	NIV产毒株	72	1
GSE174081__NIV-K-72-1	SRR14467133	GSE174081	CDC Kendall	NIV产毒株	72	1
GSE174081__NIV-N-96-1	SRR14467134	GSE174081	Norman	NIV产毒株	96	1
GSE174081__NIV-K-96-1	SRR14467135	GSE174081	CDC Kendall	NIV产毒株	96	1
GSE174081__NIV-N-72-2	SRR14467136	GSE174081	Norman	NIV产毒株	72	2
GSE174081__NIV-K-72-2	SRR14467137	GSE174081	CDC Kendall	NIV产毒株	72	2
GSE174081__NIV-K-96-2	SRR14467138	GSE174081	CDC Kendall	NIV产毒株	96	2
GSE174081__NIV-N-96-2	SRR14467139	GSE174081	Norman	NIV产毒株	96	2
GSE174081__NIV-K-72-3	SRR14467140	GSE174081	CDC Kendall	NIV产毒株	72	3
GSE174081__NIV-N-72-3	SRR14467141	GSE174081	Norman	NIV产毒株	72	3
GSE174081__NIV-K-96-3	SRR14467142	GSE174081	CDC Kendall	NIV产毒株	96	3
GSE174081__NIV-N-96-3	SRR14467143	GSE174081	Norman	NIV产毒株	96	3
