Species	GeneID	Length_aa	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs_eggnog	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs_eggnog	COG_description	GOs_interproscan	GOs_union	InterPro_IDs	InterPro_description	Domains	n_domains	iprscan_hit
Fusarium_aberrans__CBS_119866	g1.t1	456	5518.FGSG_08035P0	1.34e-192	550.0	"28JW5@1|root,2QSAC@2759|Eukaryota,39V3G@33154|Opisthokonta,3NZ9S@4751|Fungi,3QQ1M@4890|Ascomycota,215XH@147550|Sordariomycetes,3TCYG@5125|Hypocreales,1FS3Y@110618|Nectriaceae"	4751|Fungi	S	Conserved hypothetical protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	"IPR014752,IPR039634"	"Arrestin-like, C-terminal; Bul1-like"	Gene3D:G3DSA:2.60.40.640; PANTHER:PTHR31904	2	1
Fusarium_aberrans__CBS_119866	g2.t1	474	5518.FGSG_08034P0	3.06e-266	745.0	"2D1J4@1|root,2SIAM@2759|Eukaryota,38GFJ@33154|Opisthokonta,3P01G@4751|Fungi,3QP6G@4890|Ascomycota,215XF@147550|Sordariomycetes,3TKRX@5125|Hypocreales,1FN5S@110618|Nectriaceae"	4751|Fungi	K	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	-	-	-	ko:K09244	-	-	-	-	"ko00000,ko03000"	-	-	-	-	K:Transcription	"GO:0003677,GO:0006351,GO:0008270"	"GO:0003677,GO:0006351,GO:0008270"	"IPR007219,IPR052073"	"Amide and Lactam Catabolism Regulators; Xylanolytic transcriptional activator, regulatory domain"	PANTHER:PTHR47171; Pfam:PF04082; SMART:SM00906	3	1
Fusarium_aberrans__CBS_119866	g3.t1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0
Fusarium_aberrans__CBS_119866	g4.t1	638	5507.FOXG_07381P0	2.4e-252	713.0	"2CX2U@1|root,2RW4I@2759|Eukaryota,38VCV@33154|Opisthokonta,3Q0FR@4751|Fungi,3R7AK@4890|Ascomycota,21I81@147550|Sordariomycetes,3TRF0@5125|Hypocreales,1FXJX@110618|Nectriaceae"	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"IPR010730,IPR052895"	Heterokaryon Regulation/Transcriptional Modulator; Heterokaryon incompatibility	PANTHER:PTHR24148; Pfam:PF06985	2	1
Fusarium_aberrans__CBS_119866	g5.t1	588	5507.FOXG_05576P0	1.75e-295	821.0	"2D1X0@1|root,2SJKK@2759|Eukaryota,39Z6H@33154|Opisthokonta,3P0DK@4751|Fungi,3QSQF@4890|Ascomycota,213S0@147550|Sordariomycetes,3TGT3@5125|Hypocreales,1FTG7@110618|Nectriaceae"	4751|Fungi	S	Beta-lactamase	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	-	-	"IPR001466,IPR012338,IPR051478"	Beta-lactamase-like Antibiotic Biosynthesis/Resistance; Beta-lactamase-related; Beta-lactamase/transpeptidase-like	Gene3D:G3DSA:3.40.710.10; PANTHER:PTHR22935; Pfam:PF00144; SUPERFAMILY:SSF56601	4	1
Fusarium_aberrans__CBS_119866	g6.t1	546	117187.FVEG_03461T0	9.95e-243	685.0	"2D358@1|root,2SQ99@2759|Eukaryota,3AK1G@33154|Opisthokonta,3PDER@4751|Fungi,3QVZI@4890|Ascomycota,21A8J@147550|Sordariomycetes,3TNQK@5125|Hypocreales,1FUVN@110618|Nectriaceae"	4751|Fungi	S	C6 zinc finger domain-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0000981,GO:0006355,GO:0008270"	"GO:0000981,GO:0006355,GO:0008270"	"IPR001138,IPR036864,IPR052360"	Transcriptional Regulatory Proteins; Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain	Gene3D:G3DSA:4.10.240.10; PANTHER:PTHR36206; Pfam:PF00172; ProSitePatterns:PS00463; ProSiteProfiles:PS50048; SMART:SM00066; SUPERFAMILY:SSF57701	7	1
Fusarium_aberrans__CBS_119866	g6.t2	530	117187.FVEG_03461T0	5.49e-226	642.0	"2D358@1|root,2SQ99@2759|Eukaryota,3AK1G@33154|Opisthokonta,3PDER@4751|Fungi,3QVZI@4890|Ascomycota,21A8J@147550|Sordariomycetes,3TNQK@5125|Hypocreales,1FUVN@110618|Nectriaceae"	4751|Fungi	S	C6 zinc finger domain-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0000981,GO:0006355,GO:0008270"	"GO:0000981,GO:0006355,GO:0008270"	"IPR001138,IPR036864,IPR052360"	Transcriptional Regulatory Proteins; Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain	Gene3D:G3DSA:4.10.240.10; PANTHER:PTHR36206; Pfam:PF00172; ProSitePatterns:PS00463; ProSiteProfiles:PS50048; SMART:SM00066; SUPERFAMILY:SSF57701	7	1
Fusarium_aberrans__CBS_119866	g7.t1	407	5507.FOXG_14092P0	3.96e-154	446.0	"2C4ET@1|root,2RF1M@2759|Eukaryota,38K87@33154|Opisthokonta,3PN3H@4751|Fungi,3R73F@4890|Ascomycota,21K2A@147550|Sordariomycetes,3TQ8K@5125|Hypocreales,1FXWF@110618|Nectriaceae"	5507.FOXG_14092P0|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Coils:Coil; Gene3D:G3DSA:1.20.5.340	2	1
Fusarium_aberrans__CBS_119866	g8.t1	386	29850.GGTG_02896T0	1.32e-101	321.0	"2CY17@1|root,2S18W@2759|Eukaryota,39SRQ@33154|Opisthokonta,3NZSE@4751|Fungi,3QM1H@4890|Ascomycota,21RKB@147550|Sordariomycetes"	4751|Fungi	S	Peptidase s41 family protein	-	-	-	-	-	-	-	-	-	-	-	-	-	S:Function unknown	"GO:0006508,GO:0008236"	"GO:0006508,GO:0008236"	"IPR005151,IPR029045,IPR052766"	ClpP/crotonase-like domain superfamily; Secondary metabolite-associated S41A peptidase; Tail specific protease	Gene3D:G3DSA:3.90.226.10; PANTHER:PTHR37049; Pfam:PF03572; SUPERFAMILY:SSF52096	4	1
Fusarium_aberrans__CBS_119866	g9.t1	283	1051613.XP_003001624.1	6.61e-64	209.0	"2CXN2@1|root,2RYKG@2759|Eukaryota,39SC1@33154|Opisthokonta,3NZAM@4751|Fungi,3QRGY@4890|Ascomycota,2175K@147550|Sordariomycetes,1F5IR@1028384|Glomerellales"	4751|Fungi	O	Pregnancy-associated plasma protein-A	-	-	-	-	-	-	-	-	-	-	-	-	-	"O:Posttranslational modification, protein turnover, chaperones"	GO:0008237	GO:0008237	"IPR008754,IPR024079"	"Metallopeptidase, catalytic domain superfamily; Peptidase M43, pregnancy-associated plasma-A"	Gene3D:G3DSA:3.40.390.10; PANTHER:PTHR47466; Pfam:PF05572; SUPERFAMILY:SSF55486	4	1
